customer_id,age,gender,income,years_member,offer_complete_status,offer_id,reward,difficulty,duration,email,mobile,social,web,bogo,informational,discount
4,75,F,100000,5,1,1,10,10,168,1,1,1,0,1,0,0
14,61,F,57000,5,1,1,10,10,168,1,1,1,0,1,0,0
15,26,M,46000,8,1,1,10,10,168,1,1,1,0,1,0,0
17,49,M,52000,8,1,1,10,10,168,1,1,1,0,1,0,0
20,61,F,40000,4,0,1,10,10,168,1,1,1,0,1,0,0
22,64,M,100000,5,1,1,10,10,168,1,1,1,0,1,0,0
31,67,M,96000,8,0,1,10,10,168,1,1,1,0,1,0,0
33,22,M,70000,5,0,1,10,10,168,1,1,1,0,1,0,0
35,40,M,33000,6,1,1,10,10,168,1,1,1,0,1,0,0
36,69,F,57000,6,1,1,10,10,168,1,1,1,0,1,0,0
42,20,F,30000,6,1,1,10,10,168,1,1,1,0,1,0,0
47,69,F,37000,9,1,1,10,10,168,1,1,1,0,1,0,0
50,41,F,41000,7,1,1,10,10,168,1,1,1,0,1,0,0
51,79,F,48000,7,1,1,10,10,168,1,1,1,0,1,0,0
52,66,F,38000,4,0,1,10,10,168,1,1,1,0,1,0,0
59,78,F,93000,6,1,1,10,10,168,1,1,1,0,1,0,0
60,45,M,48000,5,0,1,10,10,168,1,1,1,0,1,0,0
63,63,M,56000,4,1,1,10,10,168,1,1,1,0,1,0,0
70,76,M,64000,8,0,1,10,10,168,1,1,1,0,1,0,0
71,57,M,98000,4,0,1,10,10,168,1,1,1,0,1,0,0
72,53,F,72000,6,1,1,10,10,168,1,1,1,0,1,0,0
73,53,F,117000,6,1,1,10,10,168,1,1,1,0,1,0,0
79,30,M,41000,5,0,1,10,10,168,1,1,1,0,1,0,0
80,59,M,89000,5,1,1,10,10,168,1,1,1,0,1,0,0
82,51,M,41000,7,0,1,10,10,168,1,1,1,0,1,0,0
86,73,F,91000,4,1,1,10,10,168,1,1,1,0,1,0,0
90,54,F,53000,6,1,1,10,10,168,1,1,1,0,1,0,0
92,49,F,57000,5,1,1,10,10,168,1,1,1,0,1,0,0
99,90,F,98000,7,1,1,10,10,168,1,1,1,0,1,0,0
100,68,F,84000,6,0,1,10,10,168,1,1,1,0,1,0,0
102,45,M,54000,5,0,1,10,10,168,1,1,1,0,1,0,0
107,66,F,58000,4,1,1,10,10,168,1,1,1,0,1,0,0
108,72,F,72000,6,1,1,10,10,168,1,1,1,0,1,0,0
111,52,M,78000,5,0,1,10,10,168,1,1,1,0,1,0,0
112,55,M,31000,5,0,1,10,10,168,1,1,1,0,1,0,0
115,57,F,114000,5,1,1,10,10,168,1,1,1,0,1,0,0
117,18,M,47000,6,0,1,10,10,168,1,1,1,0,1,0,0
118,53,M,96000,5,0,1,10,10,168,1,1,1,0,1,0,0
124,64,F,37000,5,0,1,10,10,168,1,1,1,0,1,0,0
126,64,F,66000,5,1,1,10,10,168,1,1,1,0,1,0,0
127,83,M,46000,4,0,1,10,10,168,1,1,1,0,1,0,0
128,26,M,71000,5,0,1,10,10,168,1,1,1,0,1,0,0
130,29,F,58000,4,0,1,10,10,168,1,1,1,0,1,0,0
132,89,F,65000,4,1,1,10,10,168,1,1,1,0,1,0,0
134,79,M,67000,6,1,1,10,10,168,1,1,1,0,1,0,0
135,55,F,94000,5,1,1,10,10,168,1,1,1,0,1,0,0
136,55,M,66000,5,1,1,10,10,168,1,1,1,0,1,0,0
141,66,M,60000,4,0,1,10,10,168,1,1,1,0,1,0,0
143,74,M,53000,8,0,1,10,10,168,1,1,1,0,1,0,0
147,47,M,66000,9,1,1,10,10,168,1,1,1,0,1,0,0
154,68,M,58000,4,0,1,10,10,168,1,1,1,0,1,0,0
161,38,M,64000,5,1,1,10,10,168,1,1,1,0,1,0,0
162,60,F,77000,4,1,1,10,10,168,1,1,1,0,1,0,0
165,22,M,63000,4,0,1,10,10,168,1,1,1,0,1,0,0
167,46,M,60000,8,1,1,10,10,168,1,1,1,0,1,0,0
171,53,F,85000,6,1,1,10,10,168,1,1,1,0,1,0,0
174,48,M,44000,7,1,1,10,10,168,1,1,1,0,1,0,0
177,62,M,53000,6,1,1,10,10,168,1,1,1,0,1,0,0
179,55,M,65000,5,0,1,10,10,168,1,1,1,0,1,0,0
185,50,F,69000,5,1,1,10,10,168,1,1,1,0,1,0,0
186,45,M,94000,7,1,1,10,10,168,1,1,1,0,1,0,0
191,57,F,89000,6,0,1,10,10,168,1,1,1,0,1,0,0
197,67,F,54000,4,0,1,10,10,168,1,1,1,0,1,0,0
202,69,F,64000,5,1,1,10,10,168,1,1,1,0,1,0,0
204,62,M,73000,6,1,1,10,10,168,1,1,1,0,1,0,0
207,52,F,92000,5,1,1,10,10,168,1,1,1,0,1,0,0
209,54,M,118000,5,1,1,10,10,168,1,1,1,0,1,0,0
