customer_id,event,time,amount
42,transaction,0,0.8300000000000001
56,transaction,0,34.56
64,transaction,0,13.23
135,transaction,0,19.51
152,transaction,0,18.97
175,transaction,0,33.9
258,transaction,0,18.59
300,transaction,0,18.01
317,transaction,0,19.11
393,transaction,0,36.19
405,transaction,0,6.46
408,transaction,0,5.02
426,transaction,0,28.39
434,transaction,0,28.08
455,transaction,0,0.75
612,transaction,0,13.57
673,transaction,0,10.22
708,transaction,0,31.42
713,transaction,0,27.89
715,transaction,0,4.2
763,transaction,0,13.05
794,transaction,0,38.38
802,transaction,0,4.08
810,transaction,0,5.78
827,transaction,0,14.27
866,transaction,0,11.52
875,transaction,0,13.93
976,transaction,0,18.97
1037,transaction,0,4.05
1045,transaction,0,30.03
1093,transaction,0,21.84
1126,transaction,0,10.37
1228,transaction,0,5.46
1252,transaction,0,7.4
1320,transaction,0,19.82
1334,transaction,0,11.83
1452,transaction,0,2.44
1502,transaction,0,24.8
1538,transaction,0,1.23
1582,transaction,0,17.0
1611,transaction,0,5.95
1620,transaction,0,11.76
1703,transaction,0,3.45
1705,transaction,0,6.32
1728,transaction,0,1.3900000000000001
1775,transaction,0,18.98
1795,transaction,0,4.27
1860,transaction,0,4.26
1899,transaction,0,0.05
1905,transaction,0,24.98
2014,transaction,0,18.05
2033,transaction,0,14.74
2044,transaction,0,15.72
2067,transaction,0,12.88
2074,transaction,0,18.57
2115,transaction,0,7.61
2118,transaction,0,6.11
2128,transaction,0,8.66
2141,transaction,0,8.99
2158,transaction,0,3.4
2185,transaction,0,2.41
2210,transaction,0,24.38
2215,transaction,0,18.11
2228,transaction,0,1.22
2283,transaction,0,25.07
2315,transaction,0,22.22
2389,transaction,0,7.66
2408,transaction,0,18.47
2409,transaction,0,12.72
2561,transaction,0,13.37
2566,transaction,0,11.62
2611,transaction,0,5.62
2612,transaction,0,2.41
2623,transaction,0,13.42
2692,transaction,0,13.01
2716,transaction,0,21.34
2742,transaction,0,39.64
2781,transaction,0,0.54
2786,transaction,0,26.47
2879,transaction,0,9.33
2894,transaction,0,14.93
2918,transaction,0,3.69
2951,transaction,0,2.04
2957,transaction,0,2.49
3004,transaction,0,2.04
3056,transaction,0,11.29
3057,transaction,0,16.34
3069,transaction,0,2.08
3162,transaction,0,9.96
3167,transaction,0,8.55
3178,transaction,0,22.87
3223,transaction,0,24.72
3228,transaction,0,7.51
3334,transaction,0,2.24
3368,transaction,0,17.17
3386,transaction,0,1.7000000000000002
3390,transaction,0,1.01
3399,transaction,0,12.09
3494,transaction,0,6.15
3525,transaction,0,1.06
3527,transaction,0,12.07
3599,transaction,0,0.8
3639,transaction,0,1.26
3702,transaction,0,4.85
3838,transaction,0,20.46
3847,transaction,0,33.56
3976,transaction,0,23.29
4116,transaction,0,2.18
4121,transaction,0,1.13
4132,transaction,0,1.51
4162,transaction,0,26.11
4163,transaction,0,6.52
4177,transaction,0,8.57
4189,transaction,0,5.98
4234,transaction,0,10.56
4241,transaction,0,8.27
4289,transaction,0,26.5
4293,transaction,0,9.08
4304,transaction,0,21.4
4324,transaction,0,19.53
4329,transaction,0,3.5300000000000002
4360,transaction,0,14.57
4444,transaction,0,24.26
4465,transaction,0,16.76
4503,transaction,0,2.06
4513,transaction,0,6.13
4565,transaction,0,11.1
4578,transaction,0,16.32
4583,transaction,0,0.16
4587,transaction,0,3.8
4637,transaction,0,10.96
4661,transaction,0,3.18
4665,transaction,0,4.32
4697,transaction,0,37.34
4726,transaction,0,27.55
4754,transaction,0,15.22
4772,transaction,0,0.62
4790,transaction,0,13.67
4863,transaction,0,1.42
4875,transaction,0,23.03
4897,transaction,0,22.19
4906,transaction,0,2.95
4977,transaction,0,8.1
4989,transaction,0,1.34
5015,transaction,0,5.75
5051,transaction,0,0.30000000000000004
5079,transaction,0,4.35
5096,transaction,0,0.30000000000000004
5106,transaction,0,22.37
5169,transaction,0,9.91
5198,transaction,0,5.75
5216,transaction,0,25.79
5222,transaction,0,20.18
