customer_id,age,gender,income,years_member,offer_complete_status
6,68,M,70000,4,0
9,65,M,53000,4,1
15,26,M,46000,8,0
21,40,F,71000,6,0
26,56,F,88000,4,1
28,33,F,52000,5,0
30,59,M,41000,7,1
32,53,O,52000,5,0
34,96,F,89000,5,0
41,75,M,40000,7,1
44,61,M,98000,5,0
50,41,F,41000,7,0
51,79,F,48000,7,0
54,39,F,56000,8,0
56,42,M,96000,6,1
61,29,M,50000,6,0
63,63,M,56000,4,1
66,68,M,87000,5,1
67,75,M,52000,7,1
70,76,M,64000,8,1
72,53,F,72000,6,0
74,53,F,55000,5,0
75,61,F,112000,5,0
76,67,F,77000,6,1
86,73,F,91000,4,0
95,89,F,87000,5,1
98,50,F,93000,5,1
100,68,F,84000,6,0
103,66,M,49000,6,0
111,52,M,78000,5,1
113,39,F,60000,5,1
114,45,F,44000,6,0
117,18,M,47000,6,0
118,53,M,96000,5,1
119,59,F,98000,5,1
126,64,F,66000,5,1
128,26,M,71000,5,0
132,89,F,65000,4,1
141,66,M,60000,4,0
145,75,F,87000,4,1
146,59,F,85000,7,0
147,47,M,66000,9,1
151,33,M,43000,7,0
153,49,M,59000,4,0
156,72,M,33000,4,0
157,18,F,49000,5,0
159,67,M,50000,5,0
162,60,F,77000,4,0
164,55,F,51000,4,0
166,34,M,41000,5,0
174,48,M,44000,7,1
175,52,M,72000,4,1
177,62,M,53000,6,0
178,42,M,62000,4,0
183,77,M,66000,8,0
184,35,M,72000,4,0
185,50,F,69000,5,1
194,61,M,44000,5,0
196,58,F,54000,4,0
197,67,F,54000,4,0
198,24,M,61000,5,0
200,26,M,35000,5,0
201,71,F,105000,5,0
202,69,F,64000,5,1
212,64,M,38000,4,0
224,60,F,59000,5,0
226,74,F,103000,4,0
229,63,F,110000,5,0
230,40,F,51000,4,0
231,79,F,99000,5,1
232,71,M,30000,4,0
233,76,F,114000,7,1
235,63,M,36000,5,0
237,41,M,83000,5,0
238,71,F,56000,4,1
239,44,M,36000,5,0
242,67,M,106000,4,0
243,77,F,80000,6,1
244,68,F,66000,7,1
248,51,M,54000,7,1
252,30,M,69000,5,0
258,75,F,69000,9,1
268,49,F,68000,5,0
269,43,M,71000,5,1
270,58,M,39000,4,0
272,56,F,87000,5,0
273,69,F,118000,5,0
274,60,O,94000,4,0
275,81,M,70000,6,1
276,42,M,91000,5,1
278,62,M,73000,4,0
279,55,F,54000,6,1
281,52,M,46000,5,0
285,26,F,40000,5,1
288,73,M,95000,5,0
293,48,F,53000,6,1
297,24,M,69000,7,1
298,71,M,95000,7,1
299,50,F,78000,4,0
307,68,F,120000,5,0
308,20,M,70000,6,0
309,43,M,42000,5,0
315,70,F,92000,5,0
317,48,M,62000,7,0
319,64,M,67000,4,0
320,79,M,90000,4,1
331,67,F,71000,5,0
332,76,F,34000,4,0
344,58,F,76000,5,0
345,51,M,70000,5,0
351,64,F,95000,5,1
355,50,M,57000,6,1
361,57,M,71000,5,1
364,35,F,72000,4,0
366,56,M,72000,4,0
374,55,M,73000,5,0
383,59,F,59000,4,1
384,49,O,42000,5,0
385,61,F,99000,6,1
386,42,M,57000,4,0
389,35,M,64000,5,0
390,36,M,31000,4,0
392,83,F,73000,5,1
393,53,M,87000,5,1
398,63,M,119000,7,0
400,56,F,109000,4,0
401,43,M,59000,5,0
410,80,M,87000,5,0
413,28,M,73000,6,0
415,71,M,67000,7,0
417,64,F,112000,4,0
418,20,M,49000,8,0
424,67,M,89000,4,1
429,53,M,60000,4,0
433,28,F,49000,4,0
435,44,M,37000,8,0
436,25,M,40000,5,0
446,62,M,70000,5,1
448,43,M,58000,4,0
451,65,F,66000,4,1
452,33,F,54000,6,1
462,39,M,71000,4,0
463,38,F,55000,7,1
465,63,F,94000,6,1
466,41,F,41000,7,0
467,54,M,39000,5,1
472,56,F,69000,5,0
474,50,M,98000,4,0
475,58,M,55000,7,1
476,39,M,61000,5,1
487,56,F,67000,5,0
493,63,M,49000,5,0
501,18,M,48000,7,0
502,39,F,85000,6,1
509,77,M,86000,4,1
516,47,M,77000,4,0
521,58,F,71000,5,1
524,57,M,33000,5,0
525,87,M,55000,7,0
528,61,M,112000,5,0
531,94,M,50000,8,1
533,49,F,73000,5,0
540,51,M,65000,4,0
543,62,F,117000,4,0
555,55,M,76000,5,0
560,65,F,98000,9,1
563,63,F,62000,4,0
567,55,F,62000,4,0
576,61,M,39000,5,0
577,73,O,88000,4,0
579,64,F,34000,5,0
581,37,M,59000,4,1
586,80,F,87000,5,0
589,43,M,52000,7,1
594,66,F,104000,5,0
596,38,M,60000,5,1
597,80,F,54000,7,0
599,45,M,74000,7,1
600,89,M,63000,5,0
601,45,F,94000,5,1
603,22,M,44000,4,0
607,56,M,88000,4,0
613,38,F,66000,5,0
616,55,M,68000,6,0
617,81,M,41000,5,0
619,51,F,67000,8,0
629,50,F,63000,4,1
630,20,F,60000,4,0
631,49,F,31000,4,1
633,58,M,54000,8,1
642,52,F,114000,5,0
643,59,F,83000,6,1
644,59,F,51000,6,1
649,47,F,62000,8,1
653,49,M,84000,7,1
655,45,F,58000,6,1
658,43,M,60000,5,0
660,18,F,67000,5,0
661,40,M,41000,6,0
664,51,F,106000,5,0
668,53,M,36000,8,0
674,81,F,101000,5,0
677,48,F,87000,7,0
678,73,M,63000,8,1
679,41,F,89000,4,1
685,53,F,83000,7,0
693,36,F,64000,5,1
696,39,F,78000,6,1
698,43,M,34000,6,0
699,75,M,38000,4,0
700,47,M,40000,5,0
701,60,F,117000,4,0
703,70,M,35000,4,0
704,49,F,36000,4,0
706,37,M,36000,5,0
708,67,F,67000,7,1
709,48,M,65000,7,1
714,43,M,65000,4,1
715,43,M,41000,8,1
723,62,F,88000,4,0
725,70,M,99000,5,1
727,44,F,39000,4,0
729,51,M,99000,4,0
731,72,F,60000,9,1
732,22,M,45000,5,0
737,23,M,65000,8,0
739,71,F,67000,7,1
742,43,M,31000,4,0
746,37,F,57000,4,1
748,45,M,44000,8,1
749,59,M,61000,4,1
751,18,M,36000,6,0
753,38,M,33000,6,1
755,46,F,36000,7,0
756,82,M,41000,5,0
757,37,M,36000,4,0
760,65,F,57000,6,1
766,50,F,110000,4,0
768,66,M,50000,5,0
772,29,F,53000,7,1
776,48,M,52000,9,1
777,25,M,68000,7,0
778,82,M,78000,7,1
779,57,F,70000,6,1
780,50,M,70000,5,0
782,74,F,72000,4,0
785,49,F,59000,4,1
787,80,M,88000,5,0
790,63,M,50000,4,0
791,54,F,109000,6,1
793,45,M,55000,4,0
794,49,F,110000,5,0
795,61,M,35000,5,1
796,46,M,46000,5,0
801,66,M,70000,5,1
807,62,F,55000,7,1
811,23,M,63000,5,1
813,72,F,41000,7,0
814,69,F,93000,6,0
815,71,F,43000,5,0
818,58,F,38000,4,0
820,58,F,41000,5,0
823,49,F,73000,9,1
826,33,M,54000,4,0
827,54,M,39000,4,0
830,46,F,73000,7,0
831,51,F,91000,5,0
837,67,M,73000,9,1
844,67,M,41000,5,0
845,58,F,92000,5,1
846,54,F,82000,5,0
853,50,M,59000,4,0
855,63,M,96000,5,1
859,57,M,110000,5,0
862,54,M,92000,7,0
865,70,F,58000,7,1
869,61,M,100000,7,0
870,30,M,35000,4,1
871,59,M,108000,5,0
872,38,M,38000,4,0
877,74,F,61000,4,0
880,56,F,83000,6,0
882,38,F,69000,4,1
884,64,F,70000,8,1
885,43,F,47000,4,1
888,64,F,59000,8,0
893,33,M,68000,5,1
895,25,M,56000,7,1
897,58,F,77000,5,1
902,22,F,50000,5,0
911,68,F,117000,4,1
912,84,F,68000,4,1
916,30,F,69000,7,1
920,69,M,70000,5,0
926,55,M,41000,5,0
927,69,M,72000,8,0
938,51,M,93000,7,1
939,82,M,89000,5,1
940,60,M,68000,6,1
941,68,M,71000,5,0
950,92,M,113000,4,0
954,32,M,34000,7,0
955,63,M,73000,5,0
966,41,M,61000,5,1
973,65,F,79000,8,1
977,33,M,51000,5,0
980,74,O,61000,7,1
987,86,M,92000,6,0
990,88,F,71000,5,0
994,49,F,115000,4,0
999,55,F,58000,6,1
1001,52,F,71000,4,0
1005,42,F,56000,6,1
1007,70,F,101000,6,0
1008,57,F,111000,7,0
1010,62,F,67000,6,0
1013,60,M,57000,4,1
1015,52,M,50000,7,0
1016,28,M,35000,5,0
1020,52,M,104000,6,0
1021,73,F,75000,4,1
1023,28,M,51000,9,0
1026,33,F,56000,5,0
1027,39,F,35000,5,0
1028,51,F,84000,5,0
1031,59,F,109000,7,0
1038,47,M,38000,5,0
1045,64,F,83000,6,0
1046,61,F,80000,5,0
1048,72,F,39000,5,0
1056,81,F,57000,4,0
1057,44,F,36000,5,0
1058,81,O,57000,4,0
1067,33,F,43000,7,1
1068,39,M,64000,4,0
1075,46,M,32000,5,1
1076,20,F,59000,5,0
1077,70,M,98000,5,1
1079,20,F,62000,6,1
1082,24,F,53000,4,0
1084,98,M,52000,4,1
1093,76,M,99000,7,1
1096,62,M,76000,7,0
1098,33,F,41000,5,1
1099,52,F,89000,6,0
1101,57,M,83000,6,1
1102,60,M,93000,9,1
1108,55,F,47000,6,0
1109,39,F,90000,6,1
1110,50,M,42000,5,0
1114,56,M,32000,4,0
1117,58,F,77000,6,1
1120,77,M,73000,9,0
1122,69,F,74000,6,0
1124,79,M,71000,5,1
1125,53,F,31000,5,0
1126,64,M,60000,6,1
1129,79,M,42000,6,0
1131,64,F,88000,4,0
1133,47,F,40000,9,0
1137,83,F,69000,5,1
1143,51,M,53000,5,0
1145,48,M,39000,4,0
1147,67,M,69000,7,1
1154,68,M,52000,4,1
1156,20,M,33000,4,0
1167,57,F,89000,6,1
1169,42,M,50000,4,0
1172,100,F,118000,5,1
1174,72,M,53000,4,1
1176,20,F,39000,5,0
1181,85,M,95000,5,0
1183,51,M,61000,7,1
1193,58,M,31000,5,1
1195,58,F,95000,5,0
1198,66,M,56000,4,0
1206,53,F,104000,5,0
1208,21,F,63000,5,1
1210,32,M,45000,6,0
1214,49,M,45000,7,1
1217,55,M,71000,5,1
1218,44,M,55000,7,1
1222,62,M,31000,4,0
1223,96,M,82000,6,1
1224,65,M,116000,5,1
1228,40,F,41000,6,0
1231,26,M,62000,4,0
1237,58,F,81000,5,1
1239,19,M,46000,5,0
1240,26,F,69000,4,0
1241,58,M,75000,6,0
1242,69,F,67000,8,1
1243,58,M,93000,4,0
1245,26,F,55000,4,0
1247,63,M,46000,7,1
1250,48,F,71000,5,0
1254,75,F,75000,5,0
1257,79,F,102000,5,0
1263,69,F,53000,5,1
1265,84,M,72000,5,1
1270,70,M,52000,4,0
1271,52,F,60000,7,1
1281,76,M,43000,4,1
1286,80,M,60000,4,0
1290,49,F,102000,4,1
1302,76,M,56000,7,1
1303,73,M,73000,4,0
1310,66,M,58000,4,0
1313,46,F,45000,5,1
1317,63,F,100000,6,1
1321,53,F,99000,6,1
1323,68,M,81000,6,1
1324,19,F,67000,7,0
1327,65,M,35000,5,0
1331,67,F,110000,7,1
1333,58,M,31000,7,0
1341,62,M,68000,8,1
1343,42,M,57000,8,1
1349,48,F,93000,7,1
1350,35,O,54000,5,0
1353,54,F,73000,5,1
1355,63,M,47000,9,0
1356,64,F,68000,6,1
1358,71,M,73000,7,1
1363,67,M,82000,6,0
1364,86,F,93000,7,1
1367,45,F,33000,5,0
1368,49,M,40000,5,0
1375,88,F,55000,5,0
1380,41,M,60000,6,1
1381,60,F,53000,7,1
1385,60,F,32000,4,0
1394,77,M,61000,4,0
1402,56,F,76000,5,1
1404,64,M,36000,5,0
1406,56,M,99000,6,1
1409,71,M,32000,5,0
1412,76,F,98000,7,0
1413,29,M,59000,5,0
1419,82,F,99000,6,1
1420,63,F,86000,5,0
1428,60,F,115000,5,0
1429,67,F,81000,4,1
1430,44,M,55000,5,1
1434,62,M,114000,4,0
1438,52,M,73000,5,0
1443,66,F,62000,4,0
1450,57,M,69000,5,1
1453,57,M,83000,6,1
1456,44,M,47000,6,0
1457,24,M,63000,4,0
1460,33,M,33000,4,0
1462,28,M,60000,6,0
1465,55,F,53000,4,0
1467,64,M,61000,4,0
1468,54,M,46000,8,0
1470,93,F,59000,6,0
1476,23,M,42000,6,0
1477,51,F,56000,5,0
1480,63,M,89000,5,0
1483,53,M,50000,6,1
1485,86,M,55000,6,1
1486,37,M,64000,4,1
1487,49,F,104000,5,0
1489,66,M,42000,5,0
1490,37,F,60000,7,1
1493,45,M,67000,5,0
1494,40,M,57000,4,0
1497,42,M,52000,5,1
1498,64,M,108000,6,1
1499,70,M,105000,5,0
1506,89,M,82000,4,0
1512,38,M,47000,6,1
1521,92,F,63000,4,0
1525,41,M,57000,8,1
1526,75,M,89000,6,0
1530,54,M,72000,9,0
1533,43,M,42000,4,1
1535,35,F,74000,5,1
1536,31,M,69000,8,0
1538,38,F,59000,9,0
1540,50,F,58000,4,1
1541,24,M,65000,7,1
1542,64,O,31000,4,1
1544,20,M,67000,6,1
1547,33,M,42000,5,0
1548,60,M,83000,4,1
1549,67,F,107000,5,0
1550,51,M,34000,5,1
1556,91,M,78000,7,1
1557,101,F,43000,5,0
1559,52,F,80000,7,1
1560,57,M,66000,5,0
1562,66,M,47000,6,1
1563,37,M,72000,4,0
1568,56,M,82000,6,1
1570,36,M,47000,5,1
1572,23,M,60000,5,0
1574,67,M,57000,4,0
1576,42,M,49000,6,0
1582,51,F,80000,5,1
1587,68,M,85000,7,0
1590,55,F,95000,9,1
1593,63,M,70000,5,0
1594,69,F,85000,7,1
1595,80,M,50000,6,1
1596,63,F,72000,5,1
1600,78,F,72000,5,0
1601,20,M,33000,5,0
1606,87,F,85000,6,1
1607,43,M,63000,4,0
1609,46,F,42000,9,0
1610,52,F,58000,8,0
1611,55,M,61000,7,1
1618,44,F,69000,5,1
1619,49,F,65000,6,1
1621,50,F,94000,7,0
1623,52,F,66000,6,0
1624,74,F,42000,5,0
1626,63,M,97000,5,0
1627,53,M,92000,5,0
1630,67,M,65000,8,1
1632,57,F,73000,5,1
1636,81,M,62000,6,0
1638,88,M,67000,5,0
1639,94,F,88000,6,1
1643,75,F,80000,5,0
1649,59,M,30000,5,0
1656,59,M,69000,7,0
1659,61,M,50000,6,0
1670,48,M,62000,5,0
1671,56,F,58000,7,1
1674,72,F,75000,5,1
1677,75,M,110000,5,0
1680,35,M,33000,8,0
1686,38,F,75000,4,0
1687,47,F,61000,4,0
1689,63,M,97000,8,1
1691,73,F,85000,6,0
1695,69,M,52000,6,1
1698,30,F,40000,7,1
1704,57,M,61000,7,1
1708,25,M,70000,4,0
1709,35,F,58000,7,1
1710,55,F,53000,7,0
1712,53,F,100000,5,1
1716,40,F,69000,5,0
1720,48,M,58000,6,0
1721,63,F,94000,6,1
1722,51,M,97000,5,0
1726,23,F,68000,5,0
1730,65,F,96000,5,1
1731,56,F,80000,4,1
1733,64,F,79000,6,0
1734,57,F,32000,5,0
1735,34,M,43000,5,1
1738,58,M,95000,5,1
1743,67,F,96000,5,1
1745,31,M,33000,5,0
1746,63,F,101000,6,1
1749,73,F,106000,5,0
1758,31,M,73000,4,0
1761,37,M,46000,4,0
1764,81,F,52000,7,1
1766,85,F,75000,7,1
1767,53,F,75000,7,1
1769,71,M,55000,5,1
1772,83,F,58000,9,0
1780,89,M,36000,7,0
1781,75,M,49000,5,0
1783,31,M,43000,4,0
1784,66,M,68000,5,0
1785,47,M,44000,4,0
1786,69,F,36000,6,0
1796,76,M,40000,6,1
1801,22,M,62000,7,0
1806,61,M,109000,5,1
1815,52,F,61000,8,0
1817,53,F,88000,5,0
1820,84,F,108000,6,0
1824,52,F,97000,4,0
1827,27,M,37000,5,0
1829,52,M,66000,7,1
1835,69,F,83000,7,0
1839,45,F,48000,8,1
1845,67,F,105000,5,0
1848,54,M,69000,4,1
1853,18,M,49000,7,0
1854,63,F,71000,7,1
1855,34,M,36000,8,1
1856,80,M,45000,4,0
1857,48,F,33000,5,0
1859,33,M,34000,5,0
1863,57,M,61000,6,1
1877,23,M,34000,5,0
1885,67,F,58000,5,1
1886,23,F,48000,5,1
1887,45,F,62000,6,1
1894,37,F,66000,6,0
1896,55,F,103000,5,1
1898,86,M,90000,6,0
1902,23,M,35000,4,0
1905,43,M,56000,7,0
1906,30,F,56000,4,1
1909,62,M,56000,7,1
1911,46,M,46000,4,0
1913,62,F,72000,5,0
1918,59,F,49000,6,0
1921,37,F,80000,7,1
1923,42,F,98000,5,0
1926,25,M,50000,5,0
1928,20,M,59000,8,0
1932,71,M,43000,5,0
1933,24,M,32000,5,0
1936,58,F,86000,5,1
1939,51,M,67000,7,0
1945,36,M,75000,6,0
1947,74,M,84000,7,1
1948,74,F,92000,4,0
1953,50,M,42000,5,0
1954,69,M,51000,4,0
1956,58,F,55000,4,0
1958,58,M,43000,7,0
1960,31,F,39000,5,0
1962,31,M,39000,5,0
1963,74,F,55000,5,0
1966,68,F,58000,6,0
1968,54,M,61000,4,0
1970,64,M,40000,5,0
1979,65,M,91000,4,0
1981,80,F,87000,6,1
1982,52,F,42000,5,1
1984,45,F,75000,5,0
1988,57,M,35000,4,0
1997,29,M,53000,7,1
1998,40,M,89000,6,1
1999,57,M,84000,5,0
2000,54,M,68000,5,1
2004,68,F,76000,5,0
2009,74,M,78000,6,1
2011,44,F,97000,5,1
2014,71,F,68000,5,1
2020,39,M,67000,5,1
2024,53,O,100000,5,1
2027,57,F,30000,6,0
2029,56,F,75000,6,1
2030,52,F,32000,6,0
2031,75,M,92000,7,0
2034,55,F,115000,7,0
2035,47,M,47000,4,0
2036,65,F,73000,6,0
2043,64,F,45000,4,1
2044,38,M,68000,7,1
2046,75,F,76000,4,0
2047,56,M,94000,4,0
2051,43,F,34000,4,1
2052,51,M,54000,4,0
2058,39,F,38000,6,1
2061,26,M,39000,5,0
2065,77,M,80000,6,1
2077,53,M,50000,5,0
2083,27,M,47000,6,1
2085,63,F,119000,7,0
2088,53,M,37000,4,0
2089,71,F,41000,6,0
2091,75,F,54000,5,1
2096,55,M,57000,4,1
2099,66,M,77000,6,1
2102,57,M,61000,7,0
2106,63,M,49000,5,0
2107,73,F,65000,6,1
2119,43,F,70000,6,0
2123,29,M,36000,6,0
2124,74,F,95000,6,1
2125,52,F,73000,6,1
2127,77,F,87000,7,1
2131,48,F,54000,5,1
2134,45,F,52000,5,0
2138,87,F,73000,5,0
2142,81,M,77000,4,1
2143,74,F,89000,6,1
2144,71,M,107000,6,0
2148,46,M,44000,5,0
2154,89,F,55000,5,0
2157,54,M,105000,5,0
2165,38,M,32000,5,0
2178,53,M,111000,6,1
2179,59,M,73000,6,1
2180,23,M,32000,5,1
2183,25,M,50000,6,1
2185,64,M,55000,6,0
2187,58,F,94000,6,0
2188,57,M,65000,9,0
2192,52,F,108000,6,0
2193,37,M,41000,4,0
2199,92,M,61000,4,0
2202,50,M,111000,5,0
2205,61,F,95000,6,0
2211,88,F,51000,4,0
2215,45,M,90000,5,1
2217,68,F,54000,5,1
2219,95,M,87000,5,0
2229,75,F,45000,6,0
2230,20,M,39000,5,0
2234,64,F,59000,4,0
2236,55,F,75000,5,0
2241,48,F,38000,6,0
2246,36,M,31000,7,0
2247,82,M,50000,4,0
